# The live-safety bands, MEASURED on the bank, red cards out; written by
# scripts/livebands.py every two days (the bank-refresh workflow) and read
# by scripts/webapp.py and scripts/bankrates.py for the live tag. The tag
# reads the league's own row where it has 50 cards or more (source
# 'league'), else the whole bank's row (league '*', source 'global'), else
# the seed. A league row under the floor is written as 'thin' and not read.
# Thresholds: safe >= 79, cautious >= 77, else unsafe.
# written	2026-09-12
# The 'flip' rows: priced plays with that tag that also print that lane,
# paired on the board's last 21 days — n cards where tip 1 graded and
# that lane won or lost (a push on the lane is no bet), hit = THAT lane,
# said = tip 1 on the same cards; flipped when the lane beats tip 1 by 5.
# league	lane	band	n	hit	said	label	source
ENG-CH	watch	+1 up	113	77.9	78.7	cautious	league
ENG-CH	watch	−1..+1	2	100.0	76.0	safe	thin
ENG-CH	watch	−4 down	7	85.7	83.5	unsafe	thin
ENG-CH	priced	+1 up	189	79.9	78.5	safe	league
ENG-CH	priced	−4 down	1	100.0	83.6	unsafe	thin
ENG-CH	athena	+1 up	61	78.7	79.2	cautious	league
ENG-CH	athena	−4 down	222	91.0	83.6	safe	league
ENG-CH	watch	+1 up	113	77.9	78.7	cautious	league
ENG-CH	watch	−1..+1	2	100.0	76.0	safe	thin
ENG-CH	watch	−4 down	7	85.7	83.5	unsafe	thin
ENG-CH	priced	+1 up	189	79.9	78.5	safe	league
ENG-CH	priced	−4 down	1	100.0	83.6	unsafe	thin
ENG-L1	athena	+1 up	254	79.9	77.9	safe	league
ENG-L1	athena	−4 down	299	86.0	83.1	safe	league
ENG-L1	athena	+1 up	254	79.9	77.9	safe	league
ENG-L1	athena	−4 down	299	86.0	83.1	safe	league
ENG-L2	athena	+1 up	339	87.3	87.5	safe	league
ENG-L2	athena	−1..+1	279	88.5	87.3	safe	league
ENG-L2	athena	−4..−1	158	90.5	85.2	safe	league
ENG-L2	athena	+1 up	339	87.3	87.5	safe	league
ENG-L2	athena	−1..+1	279	88.5	87.3	safe	league
ENG-L2	athena	−4..−1	158	90.5	85.2	safe	league
ENG-L2	athena	+1 up	339	87.3	87.5	safe	league
ENG-L2	athena	−1..+1	279	88.5	87.3	safe	league
ENG-L2	athena	−4..−1	158	90.5	85.2	safe	league
ENG-NL	athena	+1 up	454	85.9	84.0	safe	league
ENG-NL	athena	−1..+1	81	88.9	85.1	safe	league
ENG-NL	athena	+1 up	454	85.9	84.0	safe	league
ENG-NL	athena	−1..+1	81	88.9	85.1	safe	league
ENG-PL	athena	+1 up	394	87.1	84.1	safe	league
ENG-PL	athena	−1..+1	70	87.1	81.3	safe	league
ENG-PL	watch	+1 up	119	78.2	83.6	cautious	league
ENG-PL	watch	−1..+1	41	78.0	81.2	safe	thin
ENG-PL	priced	+1 up	72	79.2	83.2	safe	league
ENG-PL	priced	−1..+1	38	73.7	81.2	unsafe	thin
ENG-PL	athena	+1 up	394	87.1	84.1	safe	league
ENG-PL	athena	−1..+1	70	87.1	81.3	safe	league
ENG-PL	watch	+1 up	119	78.2	83.6	cautious	league
ENG-PL	watch	−1..+1	41	78.0	81.2	safe	thin
ENG-PL	priced	+1 up	72	79.2	83.2	safe	league
ENG-PL	priced	−1..+1	38	73.7	81.2	unsafe	thin
ENG-PL	athena	+1 up	394	87.1	84.1	safe	league
ENG-PL	athena	−1..+1	70	87.1	81.3	safe	league
ENG-PL	watch	+1 up	119	78.2	83.6	cautious	league
ENG-PL	watch	−1..+1	41	78.0	81.2	safe	thin
ENG-PL	priced	+1 up	72	79.2	83.2	safe	league
ENG-PL	priced	−1..+1	38	73.7	81.2	unsafe	thin
ENG-PL	athena	+1 up	394	87.1	84.1	safe	league
ENG-PL	athena	−1..+1	70	87.1	81.3	safe	league
ENG-PL	watch	+1 up	119	78.2	83.6	cautious	league
ENG-PL	watch	−1..+1	41	78.0	81.2	safe	thin
ENG-PL	priced	+1 up	72	79.2	83.2	safe	league
ENG-PL	priced	−1..+1	38	73.7	81.2	unsafe	thin
ENG-PL	athena	+1 up	394	87.1	84.1	safe	league
ENG-PL	athena	−1..+1	70	87.1	81.3	safe	league
ENG-PL	watch	+1 up	119	78.2	83.6	cautious	league
ENG-PL	watch	−1..+1	41	78.0	81.2	safe	thin
ENG-PL	priced	+1 up	72	79.2	83.2	safe	league
ENG-PL	priced	−1..+1	38	73.7	81.2	unsafe	thin
ENG-PL	athena	+1 up	394	87.1	84.1	safe	league
ENG-PL	athena	−1..+1	70	87.1	81.3	safe	league
ENG-PL	watch	+1 up	119	78.2	83.6	cautious	league
